PARAMETERID,N Rows,Parameter Type,Center Type,Mean Parameter Center,Mean Parameter Std Dev,StdDev Parameter Mean,StdDev Parameter Std Dev,Ref Tool Name,Ref Data Source,Parameter LSL,Parameter Target,Parameter USL,Mean Parameter TTD,StdDev Parameter TTD,StdDev Parameter CL,StdDev Parameter UCL,Mean Parameter LCL,Mean Parameter CL,Mean Parameter UCL
BOW,30,,,,,,,,,135.9,135.65,136.15,,,,,,,
BSL,30,,,,,,,,,311.66,311.53,311.91,,,,,,,
BSW,30,,,,,,,,,132.59,132.46,132.84,,,,,,,
EL,30,,,,,,,,,322.6,322.35,322.85,,,,,,,
OL,30,,,,,,,,,315.0,314.75,315.25,,,,,,,
POCKET-1 X Bottom,30,,,,,,,,,25.26,25.180000000000003,25.34,,,,,,,
POCKET-1 X Top,30,,,,,,,,,25.26,25.180000000000003,25.34,,,,,,,
POCKET-1 Y Bottom,30,,,,,,,,,40.26,40.18,40.339999999999996,,,,,,,
POCKET-1 Y Top,30,,,,,,,,,40.26,40.18,40.339999999999996,,,,,,,
POCKET-2 X Bottom,30,,,,,,,,,25.26,25.180000000000003,25.34,,,,,,,
POCKET-2 X Top,30,,,,,,,,,25.26,25.180000000000003,25.34,,,,,,,
POCKET-2 Y Bottom,30,,,,,,,,,40.26,40.18,40.339999999999996,,,,,,,
POCKET-2 Y Top,30,,,,,,,,,40.26,40.18,40.339999999999996,,,,,,,
POCKET-3 X Bottom,30,,,,,,,,,25.26,25.180000000000003,25.34,,,,,,,
POCKET-3 X Top,30,,,,,,,,,25.26,25.180000000000003,25.34,,,,,,,
POCKET-3 Y Bottom,30,,,,,,,,,40.26,40.18,40.339999999999996,,,,,,,
POCKET-3 Y Top,30,,,,,,,,,40.26,40.18,40.339999999999996,,,,,,,
ST(A),30,,,,,,,,,10.16,10.03,10.29,,,,,,,
ST(B),30,,,,,,,,,10.16,10.03,10.29,,,,,,,
ST(C),30,,,,,,,,,10.16,10.03,10.29,,,,,,,
ST(D),30,,,,,,,,,10.16,10.03,10.29,,,,,,,
ST(E),30,,,,,,,,,10.16,10.03,10.29,,,,,,,
ST(F),30,,,,,,,,,10.16,10.03,10.29,,,,,,,
TOW,30,,,,,,,,,135.9,135.65,136.15,,,,,,,
TSL,30,,,,,,,,,311.15,311.02,311.4,,,,,,,
TSW,30,,,,,,,,,132.08,131.95,132.33,,,,,,,
TT,30,,,,,,,,,12.19,12.06,12.32,,,,,,,
